name,name_hiragana,name_romaji,latitude,longitude,group_code,operator_name
市民広場,しみんひろば,shiminhiroba,34.66491,135.21244,007340,神戸新交通
貿易センター,ぼうえきせんたー,bouekisennta-,34.68937,135.19946,007153,神戸新交通
三宮,さんのみや,sannnomiya,34.6942,135.19386,007108,神戸新交通
北埠頭,きたふとう,kitafutou,34.67357,135.21451,007271,神戸新交通
南公園,みなみこうえん,minamikouen,34.66467,135.21707,007343,神戸新交通
みなとじま,みなとじま,minatojima,34.66907,135.21,007289,神戸新交通
中公園,なかこうえん,nakakouenn,34.6731,135.20752,007276,神戸新交通
医療センター,いりょうせんたー,iryousennta-,34.65852,135.21641,007381,神戸新交通
計算科学センター,けいさんかがくせんたー,keisannkagakusennta-,34.65481,135.22154,007403,神戸新交通
神戸空港,こうべくうこう,koubekuukou,34.63735,135.22898,007482,神戸新交通
岩瀬浜,いわせはま,iwasehama,36.76127,137.23411,001838,富山地方鉄道
競輪場前,けいりんじょうまえ,keirinnjoumae,36.75749,137.23395,001843,富山地方鉄道
東岩瀬,ひがしいわせ,higashiiwase,36.75195,137.23051,001852,富山地方鉄道
インテック本社前,いんてっくほんしゃまえ,inntekkuhonnshamae,36.70363,137.21642,001917,富山地方鉄道
萩浦小学校前,はぎうらしょうがっこうまえ,hagiurashougakkoumae,36.74804,137.22836,001858,富山地方鉄道
蓮町（馬場記念公園前）,はすまち（ばばきねんこうえんまえ）,hasumachi（babakinennkouennmae）,36.74222,137.22759,001868,富山地方鉄道
犬島新町,いぬじましんまち,inujimashinnmachi,36.7351,137.22663,001879,富山地方鉄道
城川原,じょうがわら,jougawara,36.73113,137.2261,001884,富山地方鉄道
越中中島,えっちゅうなかじま,ecchuunakajima,36.7222,137.2249,001893,富山地方鉄道
粟島（大阪屋ショップ前）,あわじま（おおさかやしょっぷまえ）,awajima（oosakayashoppumae）,36.71915,137.22482,001900,富山地方鉄道
下奥井,しもおくい,shimookui,36.71192,137.22459,001906,富山地方鉄道
奥田中学校前,おくだちゅうがっこうまえ,okudachuugakkoumae,36.70357,137.22361,001918,富山地方鉄道
富山駅,とやまえき,toyamaeki,36.70175,137.213,001923,富山地方鉄道
盛岡,もりおか,morioka,39.70134,141.13644,000792,アイジーアールいわて銀河鉄道
御堂,みどう,midou,40.00436,141.23705,000727,アイジーアールいわて銀河鉄道
二戸,にのへ,ninohe,40.2598,141.28579,000668,アイジーアールいわて銀河鉄道
小鳥谷,こずや,kozuya,40.17112,141.30774,000698,アイジーアールいわて銀河鉄道
渋民,しぶたみ,shibutami,39.83475,141.15423,000764,アイジーアールいわて銀河鉄道
斗米,とまい,tomai,40.28561,141.29091,000662,アイジーアールいわて銀河鉄道
いわて沼宮内,いわてぬまくない,iwatenumakunai,39.9606,141.21725,000733,アイジーアールいわて銀河鉄道
厨川,くりやがわ,kuriyagawa,39.74408,141.12886,000776,アイジーアールいわて銀河鉄道
岩手川口,いわてかわぐち,iwatekawaguchi,39.91931,141.19937,000743,アイジーアールいわて銀河鉄道
一戸,いちのへ,ichinohe,40.21037,141.29739,000686,アイジーアールいわて銀河鉄道
